hour_of_day,day_of_week,severity_numeric,source_type_numeric,src_bytes,dst_bytes,event_freq_1m,protocol,dst_port,template_rarity,threat_intel_flag,duration,same_srv_rate,diff_srv_rate,serror_rate,rerror_rate,count,srv_count,dst_host_count,dst_host_srv_count,label
14.0,1.0,2.7839462832841138,8.0,0.0,0.0,157.0,6.0,80.0,0.6767653828621285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
14.0,1.0,1.3378536902415523,9.0,44.0,0.0,1.0,6.0,113.0,0.5507711639270024,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
4.0,3.0,3.0250621386939582,1.0,0.0,0.0,25.0,0.0,22.0,0.5897694902763624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
17.0,4.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,0.4063930644568188,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,0
14.0,1.0,1.74573911701117,9.0,44.0,0.0,1.0,6.0,443.0,0.43953506237905415,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
7.0,2.0,0.8063729729505238,9.0,206.0,134.0,88.75251994,6.0,8080.0,0.391329288245729,0.0,78871.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0,1
12.0,5.0,1.1974745090657073,3.0,534.0,268.0,3.0,6.0,179.0,0.5,0.0,0.96641,0.3333333333333333,0.3333333333333333,0.0,0.0,3.0,4.0,1.0,1.0,1
10.0,2.0,0.2748787635705503,9.0,1540.0,1644.0,34.0,6.0,6881.0,0.4885515993762171,0.0,18.0,0.0,0.0,0.0,0.0,16.0,18.0,1.0,1.0,0
7.0,6.0,0.2390486353558206,1.0,0.0,0.0,50.0,0.0,0.0,0.571488294488291,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
10.0,2.0,0.9874679379313475,9.0,48090.0,1880.0,78.0,6.0,25.0,0.543969930567217,0.0,1009.0,0.0,0.0,0.0,0.0,54.0,24.0,1.0,1.0,1
